Intel® Product Specification Comparison
08/27/2026 11:07:26 AM
 ,Intel® Core™ Ultra 7 Processor 155H ,Intel® Core™ Ultra 5 Processor 125H ,Intel® Core™ Ultra 9 Processor 185H ,Intel® Core™ Ultra 5 Processor 135H ,Intel® Core™ Ultra 7 Processor 165H ,Intel® Core™ Ultra 7 Processor 155U ,Intel® Core™ Ultra 5 Processor 135U ,Intel® Core™ Ultra 7 Processor 165U ,Intel® Core™ Ultra 5 Processor 125U ,Intel® Core™ Ultra 5 Processor 134U ,Intel® Core™ Ultra 7 Processor 164U ,Intel® Core™ Ultra 3 Processor 105UL ,Intel® Core™ Ultra 5 Processor 125HL ,Intel® Core™ Ultra 5 Processor 125UL ,Intel® Core™ Ultra 5 Processor 135HL ,Intel® Core™ Ultra 5 Processor 135UL ,Intel® Core™ Ultra 7 Processor 155HL ,Intel® Core™ Ultra 7 Processor 155UL ,Intel® Core™ Ultra 7 Processor 165HL ,Intel® Core™ Ultra 7 Processor 165UL ,Intel® Core™ Ultra 5 Processor 238V ,Intel® Core™ Ultra 7 Processor 256V ,Intel® Core™ Ultra 5 Processor 228V ,Intel® Core™ Ultra 7 Processor 266V ,Intel® Core™ Ultra 7 Processor 258V ,Intel® Core™ Ultra 7 Processor 268V ,Intel® Core™ Ultra 5 Processor 236V ,Intel® Core™ Ultra 5 Processor 226V ,Intel® Core™ Ultra 9 Processor 288V ,Intel® Core™ Ultra 9 Processor 285T ,Intel® Core™ Ultra 9 Processor 285K ,Intel® Core™ Ultra 9 Processor 285 ,Intel® Core™ Ultra 7 Processor 265KF ,Intel® Core™ Ultra 7 Processor 265K ,Intel® Core™ Ultra 7 Processor 265F ,Intel® Core™ Ultra 7 Processor 265T ,Intel® Core™ Ultra 5 Processor 245KF ,Intel® Core™ Ultra 5 Processor 245K ,Intel® Core™ Ultra 7 Processor 265 ,Intel® Core™ Ultra 5 Processor 225F ,Intel® Core™ Ultra 5 Processor 225 ,Intel® Core™ Ultra 5 Processor 235 ,Intel® Core™ Ultra 9 Processor 285H ,Intel® Core™ Ultra 5 Processor 235H ,Intel® Core™ Ultra 5 Processor 225H ,Intel® Core™ Ultra 7 Processor 265H ,Intel® Core™ Ultra 7 Processor 255H ,Intel® Core™ Ultra 7 Processor 265U ,Intel® Core™ Ultra 7 Processor 255U ,Intel® Core™ Ultra 5 Processor 225U ,Intel® Core™ Ultra 5 Processor 235U ,Intel® Core™ Ultra 5 Processor 225T ,Intel® Core™ Ultra 5 Processor 235T ,Intel® Core™ Ultra 5 Processor 245T ,Intel® Core™ Ultra 5 Processor 245 ,Intel® Core™ Ultra 7 Processor 255HX ,Intel® Core™ Ultra 9 Processor 275HX ,Intel® Core™ Ultra 7 Processor 265HX ,Intel® Core™ Ultra 5 Processor 245HX ,Intel® Core™ Ultra 5 Processor 235HX ,Intel® Core™ Ultra 9 Processor 285HX ,Intel® Core™ Ultra 5 Processor 235TA ,Intel® Core™ Ultra 5 Processor 235A ,Intel® Core™ Ultra 5 Processor 235UA ,Intel® Core™ Ultra X7 Processor 368H ,Intel® Core™ Ultra X9 Processor 388H ,Intel® Core™ Ultra X7 Processor 358H ,Intel® Core™ Ultra 9 Processor 386H ,Intel® Core™ Ultra 7 Processor 366H ,Intel® Core™ Ultra 5 Processor 338H ,Intel® Core™ Ultra 7 Processor 356H ,Intel® Core™ Ultra 5 Processor 336H ,Intel® Core™ Ultra 5 processor 250KF Plus ,Intel® Core™ Ultra 7 processor 270K Plus ,Intel® Core™ Ultra 5 processor 250K Plus ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Core™ Ultra 7 processor 251HX ,Intel® Core™ Ultra 9 processor 290HX Plus ,Intel® Core™ Ultra 7 processor 270HX Plus ,Intel® Core™ Ultra X9 processor 378H
H.265 (HEVC) Hardware Encode/Decode,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AV1 Encode/Decode,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Quick Sync Video,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
# of Displays Supported ‡,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,0,4,0,4,0,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4
Device ID,0x7D55,0x7D55,0x7D55,0x7D55,0x7D55,0x7D45,0x7D45,0x7D45,0x7D45,0x7D40,0x7D40,0x7D45,0x7D55,0x7D45,0x7D55,0x7D45,0x7D55,0x7D45,0x7D55,0x7D45,0x64A0,0x64A0,0x64A0,0x64A0,0x64A0,0x64A0,0x64A0,0x64A0,0x64A0,0x7D67,0x7D67,0x7D67,,0x7D67,,0x7D67,,0x7D67,0x7D67,,0x7D67,0x7D67,0x7D51,0x7D51,0x7D51,0x7D51,0x7D51,0x7D41,0x7D41,0x7D41,0x7D41,0x7D67,0x7D67,0x7D67,0x7D67,0x7D67,0x7D67,0x7D67,0x7D67,0x7D67,0x7D67,0x7D67,0x7D67,0x7D41,0xB080 0xB082 |  0xB084 |  0xB086,0xB080 0xB082 |  0xB084 |  0xB086,0xB080 |  0xB082,0xB0A0,0XB0A0,0xB081 |  0xB083 |  0xB085 |  0xB087,0XB0A0,0XB0A0,,0x7D67,0x7D67,0xB090,0xB090,0xB090,0xB090,0xB090,0xB090,0x7D67,0x7D67,0x7D67,0xB080 |  0xB082
Intel® Deep Learning Boost (Intel® DL Boost) on GPU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AI Software Frameworks Supported by GPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN
AI Datatype Support on GPU,,,,,,,,,,,,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graphics Base Frequency,,,,,,,,,,,,,,,,,,,,,400 MHz,400 MHz,400 MHz,400 MHz,400 MHz,400 MHz,400 MHz,400 MHz,400 MHz,300 MHz,300 MHz,300 MHz,,300 MHz,,300 MHz,,300 MHz,300 MHz,,300 MHz,300 MHz,,,,,,,,,,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,,,,,,,,,,,300 MHz,300 MHz,,,,,,,300 MHz,300 MHz,300 MHz,
H.266 (VVC) Hardware Encode/Decode,,,,,,,,,,,,,,,,,,,,,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,,,,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,,,,Decode Only
Ray Tracing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes
GPU Lithography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSMC N3E,TSMC N3E,TSMC N3E,Intel 3,Intel 3,TSMC N3E,Intel 3,Intel 3,,,,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,,,,TSMC N3E

NPU Specifications
NPU Name‡,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,,,,,,,,,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,,,,,,,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,
NPU Peak TOPS (Int8),11,11,11,11,11,11,11,11,11,11,11,,,,,,,,,,40,47,40,48,47,48,40,40,48,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,12,50,50,50,50,50,47,50,47,13,13,13,49,46,46,47,49,47,13,13,13,50
Sparsity Support,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Windows Studio Effects Support,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AI Software Frameworks Supported by NPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  WebNN |  ONNX RT
AI Datatype Support on NPU,,,,,,,,,,,,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Expansion Options
Intel® Thunderbolt™ 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
