shard,model,field,why_missing,what_i_tried
intel-xeon-dew,Xeon W-2235,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-2235,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-2235,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-2235,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-2223,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon W-2223,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-2223,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-2223,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-2223,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-2225,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon W-2225,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-2225,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-2225,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-2225,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1290P,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1290P,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1290P,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1290,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-1290,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1290,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1290,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1290T,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-1290T,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1290T,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1290T,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1290E,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-1290E,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1290E,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1290E,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1290TE,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-1290TE,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1290TE,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1290TE,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1270P,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1270P,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1270P,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1270,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-1270,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1270,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1270,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1270E,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon W-1270E,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-1270E,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1270E,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1270E,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1270E,launch_price_usd,Tray/1000-unit price not published or not found in top search results for this SKU,Checked ARK pricing field and press materials; no price found
intel-xeon-dew,Xeon W-1270TE,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-1270TE,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1270TE,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1270TE,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1250,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon W-1250,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-1250,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1250,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1250,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1250P,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1250P,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1250P,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1250E,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-1250E,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1250E,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1250E,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1250TE,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-1250TE,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1250TE,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1370,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-1370,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1370,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1370,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1370P,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1370P,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1370P,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1390,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-1390,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1390,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1390,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1390P,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1390P,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1390P,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1390T,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1390T,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1350,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-1350,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-1350,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1350,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-1350P,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-1350P,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-3375,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon W-3375,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-3375,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-3375,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-3375,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-3365,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon W-3365,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-3365,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-3365,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-3365,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-3345,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon W-3345,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-3345,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-3345,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-3345,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-3335,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon W-3335,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-3335,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-3335,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-3335,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon W-3323,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon W-3323,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon W-3323,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon W-3323,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon W-3323,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon w7-2595X,cxl,CXL support not explicitly documented by Intel for this platform/generation,Checked ARK and platform briefs; no CXL mention found (client-derived or pre-CXL-era platform)
intel-xeon-dew,Xeon w7-2595X,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon w7-2595X,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon w7-2595X,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon w7-2495X,cxl,CXL support not explicitly documented by Intel for this platform/generation,Checked ARK and platform briefs; no CXL mention found (client-derived or pre-CXL-era platform)
intel-xeon-dew,Xeon w7-2495X,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon w7-2495X,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon w7-2495X,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon w7-2575X,cxl,CXL support not explicitly documented by Intel for this platform/generation,Checked ARK and platform briefs; no CXL mention found (client-derived or pre-CXL-era platform)
intel-xeon-dew,Xeon w7-2575X,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon w7-2575X,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon w7-2575X,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon w7-2475X,cxl,CXL support not explicitly documented by Intel for this platform/generation,Checked ARK and platform briefs; no CXL mention found (client-derived or pre-CXL-era platform)
intel-xeon-dew,Xeon w7-2475X,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon w7-2475X,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon w7-2475X,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon w5-2565X,cxl,CXL support not explicitly documented by Intel for this platform/generation,Checked ARK and platform briefs; no CXL mention found (client-derived or pre-CXL-era platform)
intel-xeon-dew,Xeon w5-2565X,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon w5-2565X,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon w5-2565X,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon w5-2465X,cxl,CXL support not explicitly documented by Intel for this platform/generation,Checked ARK and platform briefs; no CXL mention found (client-derived or pre-CXL-era platform)
intel-xeon-dew,Xeon w5-2465X,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon w5-2465X,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon w5-2465X,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon w5-2555X,cxl,CXL support not explicitly documented by Intel for this platform/generation,Checked ARK and platform briefs; no CXL mention found (client-derived or pre-CXL-era platform)
intel-xeon-dew,Xeon w5-2555X,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon w5-2555X,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon w5-2555X,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon w5-2455X,cxl,CXL support not explicitly documented by Intel for this platform/generation,Checked ARK and platform briefs; no CXL mention found (client-derived or pre-CXL-era platform)
intel-xeon-dew,Xeon w5-2455X,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon w5-2455X,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon w5-2455X,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon w5-2545,cxl,CXL support not explicitly documented by Intel for this platform/generation,Checked ARK and platform briefs; no CXL mention found (client-derived or pre-CXL-era platform)
intel-xeon-dew,Xeon w5-2545,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon w5-2545,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon w5-2545,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon w5-2445,cxl,CXL support not explicitly documented by Intel for this platform/generation,Checked ARK and platform briefs; no CXL mention found (client-derived or pre-CXL-era platform)
intel-xeon-dew,Xeon w5-2445,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon w5-2445,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon w5-2445,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon w3-2535,cxl,CXL support not explicitly documented by Intel for this platform/generation,Checked ARK and platform briefs; no CXL mention found (client-derived or pre-CXL-era platform)
intel-xeon-dew,Xeon w3-2535,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon w3-2535,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon w3-2535,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon w3-2435,cxl,CXL support not explicitly documented by Intel for this platform/generation,Checked ARK and platform briefs; no CXL mention found (client-derived or pre-CXL-era platform)
